Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0ikz6tENMONtK6qGkOrU3c,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,1,It was definitely inescapable,f3bec651395541a785c71c44ec9f43ce
spotify:track:2QyGSbGdT9suKuDKwnjwH9,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,3,Hearing this outside of the context of Transformers would be wild. I guess it's a real banger either way but they're so locked together for me it's hard to pull them apart.,f3bec651395541a785c71c44ec9f43ce
spotify:track:2TxCwUlqaOH3TIyJqGgR91,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,1,Say what you like about ABBA they made some bangers,f3bec651395541a785c71c44ec9f43ce
spotify:track:3msWMtvgVFVAzkcAakFMIy,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:4pbyDPjFgfPqFTcIMC8xpK,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,1,Making me feel old that you were getting driven to school to this song.,f3bec651395541a785c71c44ec9f43ce
spotify:track:0D2t9hxLR86LXCTjSngqyC,c9020fb4892a4c77aaeded2efd21f9b4,2026-08-27T00:34:24Z,2,"""Grow beans!
In the fertile soil!
Grow beans!
Cook them in some oil!""",f3bec651395541a785c71c44ec9f43ce
spotify:track:0D2t9hxLR86LXCTjSngqyC,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:0ikz6tENMONtK6qGkOrU3c,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,4,,f3bec651395541a785c71c44ec9f43ce
spotify:track:2TxCwUlqaOH3TIyJqGgR91,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:3J0AoQhAufniMrznCRJASD,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:3msWMtvgVFVAzkcAakFMIy,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:4pbyDPjFgfPqFTcIMC8xpK,434aef1105394dc9a3b534b335e73b2a,2026-08-27T06:21:02Z,2,,f3bec651395541a785c71c44ec9f43ce
spotify:track:0D2t9hxLR86LXCTjSngqyC,1af891d6b3bf4540a518ddd5b310e3b9,2026-08-27T08:31:25Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:0Ja4hLKiUSw01E01pJ1yGr,1af891d6b3bf4540a518ddd5b310e3b9,2026-08-27T08:31:25Z,2,What a banger to have as a presh mem.,f3bec651395541a785c71c44ec9f43ce
spotify:track:2NhU1OSlnCejzyQ6UmUoOl,1af891d6b3bf4540a518ddd5b310e3b9,2026-08-27T08:31:25Z,4,"Planet Rock play this as often as Radio X play The Sky Is a Neighborhood, so Kayleigh has become a bit of a vocal stim. Cracking track too.",f3bec651395541a785c71c44ec9f43ce
spotify:track:2QyGSbGdT9suKuDKwnjwH9,1af891d6b3bf4540a518ddd5b310e3b9,2026-08-27T08:31:25Z,3,"Transformers wasn't on my radar growing up but I've developed a lot of second hand nostalgia for it via Gavin Spence and Toygrind. 

Even without Transformers this Boston-esque anvil is extremely my jam.",f3bec651395541a785c71c44ec9f43ce
spotify:track:0Ja4hLKiUSw01E01pJ1yGr,026acc5a18a94f2bb1097778a32a4dae,2026-08-27T10:02:42Z,7,The presence of the prodigy has made it very difficult for me to save points for the rest of you. ,f3bec651395541a785c71c44ec9f43ce
spotify:track:2NhU1OSlnCejzyQ6UmUoOl,026acc5a18a94f2bb1097778a32a4dae,2026-08-27T10:02:42Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:2QyGSbGdT9suKuDKwnjwH9,026acc5a18a94f2bb1097778a32a4dae,2026-08-27T10:02:42Z,2,Fair play. ,f3bec651395541a785c71c44ec9f43ce
spotify:track:0D2t9hxLR86LXCTjSngqyC,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,0,Despite only being 5 minutes long: Bit long innit,f3bec651395541a785c71c44ec9f43ce
spotify:track:0ikz6tENMONtK6qGkOrU3c,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,0,A Reg Feats track if ever there was one.,f3bec651395541a785c71c44ec9f43ce
spotify:track:0Ja4hLKiUSw01E01pJ1yGr,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,2,time for crab,f3bec651395541a785c71c44ec9f43ce
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,1,,f3bec651395541a785c71c44ec9f43ce
spotify:track:2TxCwUlqaOH3TIyJqGgR91,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,2,"It's Mamma Fucking Mia, Baybee.",f3bec651395541a785c71c44ec9f43ce
spotify:track:3J0AoQhAufniMrznCRJASD,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,1,"Was it worth it, Cyndi?",f3bec651395541a785c71c44ec9f43ce
spotify:track:3msWMtvgVFVAzkcAakFMIy,b2fd357c852d458f8ea4fa557c68b37f,2026-08-27T13:52:25Z,1,Point for Most Unique Submission but I shall not be tricked into performing patriotism with that Rule Britania drop. (Pulled it back with Drunken Sailor tho),f3bec651395541a785c71c44ec9f43ce
